date,funder,person,spend,impact
2021-06-17,The Conservative Party,Ryan Stephenson for Batley & Spen,"{'lower_bound': '100', 'upper_bound': '199'}","{'lower_bound': '10000', 'upper_bound': '14999'}"
2021-06-17,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '2000', 'upper_bound': '2999'}"
2021-06-17,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '1000', 'upper_bound': '1999'}"
2021-06-17,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '1000', 'upper_bound': '1999'}"
2021-06-17,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '1000', 'upper_bound': '1999'}"
2021-06-17,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '2000', 'upper_bound': '2999'}"
2021-06-17,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '1000', 'upper_bound': '1999'}"
2021-06-17,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '2000', 'upper_bound': '2999'}"
2021-06-17,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '1000', 'upper_bound': '1999'}"
2021-06-17,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '3000', 'upper_bound': '3999'}"
2021-06-17,The Labour Party,Kim Leadbeater for Batley and Spen,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '1000', 'upper_bound': '1999'}"
