lad19cd,lad19nm,Area_ha,GB_Name,Test
E07000221,Stratford-on-Avon,22368.2854,Birmingham,17030985
E07000218,North Warwickshire,17287.1441,Birmingham,1527589
E07000241,Welwyn Hatfield,10249.3926,London,5333942
E07000073,Harlow,634.7583,London,245630
E07000099,North Hertfordshire,14247.533,London,2221111
E07000243,Stevenage,177.973,London,11568
E07000196,South Staffordshire,32121.4966,Birmingham,2307001
E07000192,Cannock Chase,4825.3046,Birmingham,880935
E07000195,Newcastle-under-Lyme,9427.2929,Stoke-on-Trent,200712
E06000007,Warrington,11379.0519,Merseyside and Greater Manchester,2563036
E08000006,Salford,3372.6223,Merseyside and Greater Manchester,2076912
E08000013,St. Helens,8877.1846,Merseyside and Greater Manchester,6488840
E08000010,Wigan,10648.3054,Merseyside and Greater Manchester,4802641
E08000011,Knowsley,4229.5153,Merseyside and Greater Manchester,667640
E06000006,Halton,2486.9158,Merseyside and Greater Manchester,39415
E08000012,Liverpool,529.7701,Merseyside and Greater Manchester,47641
E07000038,North East Derbyshire,10363.7433,South and West Yorkshire,186762
E07000199,Tamworth,210.3727,Birmingham,67322
E07000032,Amber Valley,8654.4732,Derby and Nottingham,6307698
E08000001,Bolton,7228.1602,Merseyside and Greater Manchester,7421780
E07000124,Ribble Valley,1725.8214,Merseyside and Greater Manchester,1601190
E07000117,Burnley,1051.8788,Merseyside and Greater Manchester,1661211
E06000008,Blackburn with Darwen,5279.0845,Merseyside and Greater Manchester,4255515
E08000033,Calderdale,22832.2758,South and West Yorkshire,3810270
E08000034,Kirklees,25007.6091,South and West Yorkshire,17029924
