Date,Country,Sex,SexQF,AgeGroup,AgeGroupQF,DailyPositive,CumulativePositive,CrudeRatePositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative
20200302,S92000003,Male,,60+,,0,0,0,0,0,0,99,15.31317769
20200302,S92000003,Male,,65 to 74,,0,0,0,0,0,0,55,19.61210816
20200302,S92000003,Male,,75 to 84,,0,0,0,0,0,0,9,6.021033477
20200302,S92000003,Male,,85plus,,0,0,0,0,0,0,4,8.717255808
20200302,S92000003,Male,,Total,d,1,4,0.15008187,0,0,0,544,20.41113427
20200302,S92000003,Total,d,0 to 14,,0,0,0,0,0,0,175,20.35380733
20200302,S92000003,Total,d,0 to 59,,1,4,0.098586492,0,0,0,861,21.2207423
20200302,S92000003,Total,d,15 to 19,,0,0,0,0,0,0,22,7.798100099
20200302,S92000003,Total,d,20 to 24,,0,0,0,0,0,0,75,21.94554579
20200302,S92000003,Total,d,25 to 44,,1,1,0.069866311,0,0,0,306,21.37909111
20200302,S92000003,Total,d,45 to 64,,0,3,0.200675608,0,0,0,353,23.61282986
20200302,S92000003,Total,d,60+,,0,1,0.070990005,0,0,0,202,14.33998107
20200302,S92000003,Total,d,65 to 74,,0,1,0.170571911,0,0,0,100,17.05719106
20200302,S92000003,Total,d,75 to 84,,0,0,0,0,0,0,20,5.856412479
20200302,S92000003,Total,d,85plus,,0,0,0,0,0,0,12,9.35227689
20200302,S92000003,Total,d,Total,d,1,5,0.09147457,0,0,0,1063,19.4474936
20200303,S92000003,Female,,0 to 14,,0,0,0,0,0,0,92,21.95133008
20200303,S92000003,Female,,0 to 59,,0,0,0,0,0,0,501,24.57519495
20200303,S92000003,Female,,15 to 19,,0,0,0,0,0,0,15,10.87642209
20200303,S92000003,Female,,20 to 24,,0,0,0,0,0,0,56,33.24369409
20200303,S92000003,Female,,25 to 44,,0,0,0,0,0,0,183,25.31596538
20200303,S92000003,Female,,45 to 64,,0,0,0,0,0,0,200,25.90103216
20200303,S92000003,Female,,60+,,0,1,0.131208284,0,0,0,125,16.4010355
20200303,S92000003,Female,,65 to 74,,0,1,0.326985456,0,0,0,57,18.63817097
20200303,S92000003,Female,,75 to 84,,0,0,0,0,0,0,12,6.24902359
20200303,S92000003,Female,,85plus,,0,0,0,0,0,0,11,13.34546557
20200303,S92000003,Female,,Total,d,0,1,0.035704238,0,0,0,626,22.35085269
20200303,S92000003,Male,,0 to 14,,0,0,0,0,0,0,129,29.27287539
20200303,S92000003,Male,,0 to 59,,3,7,0.346756097,0,0,0,532,26.35346335
20200303,S92000003,Male,,15 to 19,,0,0,0,0,0,0,17,11.78860943
20200303,S92000003,Male,,20 to 24,,0,0,0,0,0,0,30,17.31082157
20200303,S92000003,Male,,25 to 44,,2,3,0.423465045,0,0,0,187,26.39598781
20200303,S92000003,Male,,45 to 64,,1,4,0.553418744,0,0,0,209,28.91612939
20200303,S92000003,Male,,60+,,0,0,0,0,0,0,120,18.5614275
20200303,S92000003,Male,,65 to 74,,0,0,0,0,0,0,63,22.46477844
20200303,S92000003,Male,,75 to 84,,0,0,0,0,0,0,12,8.028044636
20200303,S92000003,Male,,85plus,,0,0,0,0,0,0,5,10.89656976
20200303,S92000003,Male,,Total,d,3,7,0.262643272,0,0,0,652,24.46334475
20200303,S92000003,Total,d,0 to 14,,0,0,0,0,0,0,221,25.70395096
20200303,S92000003,Total,d,0 to 59,,3,7,0.17252636,0,0,0,1035,25.50925468
20200303,S92000003,Total,d,15 to 19,,0,0,0,0,0,0,32,11.34269105
20200303,S92000003,Total,d,20 to 24,,0,0,0,0,0,0,87,25.45683311
20200303,S92000003,Total,d,25 to 44,,2,3,0.209598932,0,0,0,371,25.92040131
20200303,S92000003,Total,d,45 to 64,,1,4,0.267567477,0,0,0,409,27.35877454
20200303,S92000003,Total,d,60+,,0,1,0.070990005,0,0,0,245,17.3925513
20200303,S92000003,Total,d,65 to 74,,0,1,0.170571911,0,0,0,120,20.46862927
20200303,S92000003,Total,d,75 to 84,,0,0,0,0,0,0,24,7.027694975
20200303,S92000003,Total,d,85plus,,0,0,0,0,0,0,16,12.46970252
20200303,S92000003,Total,d,Total,d,3,8,0.146359312,0,0,0,1280,23.41748994
20200304,S92000003,Female,,0 to 14,,0,0,0,0,0,0,110,26.24615553
20200304,S92000003,Female,,0 to 59,,3,3,0.147156856,0,0,0,567,27.81264578
20200304,S92000003,Female,,15 to 19,,0,0,0,0,0,0,18,13.05170651
20200304,S92000003,Female,,20 to 24,,0,0,0,0,0,0,64,37.99279324
20200304,S92000003,Female,,25 to 44,,2,2,0.276677217,0,0,0,204,28.22107616
20200304,S92000003,Female,,45 to 64,,1,1,0.129505161,0,0,0,221,28.62064053
20200304,S92000003,Female,,60+,,0,1,0.131208284,0,0,0,144,18.89399289
20200304,S92000003,Female,,65 to 74,,0,1,0.326985456,0,0,0,64,20.92706916
20200304,S92000003,Female,,75 to 84,,0,0,0,0,0,0,16,8.332031453
20200304,S92000003,Female,,85plus,,0,0,0,0,0,0,14,16.985138
20200304,S92000003,Female,,Total,d,3,4,0.14281695,0,0,0,711,25.38571288
20200304,S92000003,Male,,0 to 14,,0,0,0,0,0,0,150,34.0382272
20200304,S92000003,Male,,0 to 59,,3,10,0.495365852,0,0,0,600,29.72195115
20200304,S92000003,Male,,15 to 19,,0,0,0,0,0,0,22,15.2558475
20200304,S92000003,Male,,20 to 24,,0,0,0,0,0,0,37,21.35001327
20200304,S92000003,Male,,25 to 44,,2,5,0.705775075,0,0,0,209,29.50139814
20200304,S92000003,Male,,45 to 64,,1,5,0.69177343,0,0,0,234,32.37499654
20200304,S92000003,Male,,60+,,0,0,0,0,0,0,149,23.04710581
20200304,S92000003,Male,,65 to 74,,0,0,0,0,0,0,71,25.31744871
20200304,S92000003,Male,,75 to 84,,0,0,0,0,0,0,21,14.04907811
20200304,S92000003,Male,,85plus,,0,0,0,0,0,0,5,10.89656976
20200304,S92000003,Male,,Total,d,3,10,0.375204674,0,0,0,749,28.10283009
20200304,S92000003,Total,d,0 to 14,,0,0,0,0,0,0,260,30.23994231
20200304,S92000003,Total,d,0 to 59,,6,13,0.320406097,0,0,0,1169,28.81190215
20200304,S92000003,Total,d,15 to 19,,0,0,0,0,0,0,40,14.17836382
20200304,S92000003,Total,d,20 to 24,,0,0,0,0,0,0,102,29.84594227
20200304,S92000003,Total,d,25 to 44,,4,7,0.489064176,0,0,0,414,28.92465268
20200304,S92000003,Total,d,45 to 64,,2,6,0.401351216,0,0,0,455,30.43580053
20200304,S92000003,Total,d,60+,,0,1,0.070990005,0,0,0,293,20.80007156
20200304,S92000003,Total,d,65 to 74,,0,1,0.170571911,0,0,0,135,23.02720793
20200304,S92000003,Total,d,75 to 84,,0,0,0,0,0,0,37,10.83436309
