areaCode,areaName,areaType,date,cumPeopleVaccinatedCompleteByPublishDate,cumPeopleVaccinatedFirstDoseByPublishDate,cumVaccinationFirstDoseUptakeByPublishDatePercentage,cumVaccinationSecondDoseUptakeByPublishDatePercentage,cumVaccinesGivenByPublishDate,cumPeopleVaccinatedCompleteByPublishDate_adj,cumPeopleVaccinatedFirstDoseByPublishDate_adj,cumVaccinationFirstDoseUptakeByPublishDatePercentage_adj,cumVaccinationSecondDoseUptakeByPublishDatePercentage_adj,cumVaccinesGivenByPublishDate_adj
N92000002,Northern Ireland,nation,2021-04-25,347034,912444,62.8,23.9,1259478,24.643310600272113,64.79376919078445,0.004459505136952255,0.0016971683562604918,89.43707979105656
N92000002,Northern Ireland,nation,2021-04-24,342195,905736,62.3,23.6,1247931,24.29968726655059,64.31742587137879,0.004423999522804546,0.0016758649877718667,88.61711313792937
N92000002,Northern Ireland,nation,2021-04-23,338409,898858,61.9,23.3,1237267,24.030838756224135,63.829010643162896,0.004395595031486378,0.0016545616192832411,87.85984939938703
N92000002,Northern Ireland,nation,2021-04-22,328366,892787,61.4,22.6,1221153,23.31767299045325,63.39790147618142,0.00436008941733867,0.0016048537594764484,86.71557446663466
N92000002,Northern Ireland,nation,2021-04-21,311850,883813,60.8,21.5,1195663,22.144851543926126,62.760646713458335,0.004317482680361418,0.0015267414083514883,84.90549825738447
N92000002,Northern Ireland,nation,2021-04-20,298557,876290,60.3,20.5,1174847,21.20089928619513,62.2264292429919,0.00428197706621371,0.0014557301800560704,83.42732852918704
N92000002,Northern Ireland,nation,2021-04-19,283478,869342,59.8,19.5,1152820,20.130120974728523,61.73304322879534,0.004246471452066,0.0013847189517606523,81.86316420352387
N92000002,Northern Ireland,nation,2021-04-18,273619,863712,59.4,18.8,1137331,19.430021274963995,61.33325001349213,0.004218066960747833,0.0013350110919538598,80.76327128845612
N92000002,Northern Ireland,nation,2021-04-17,268341,860313,59.2,18.5,1128654,19.05522401202078,61.09188284851601,0.004203864715088749,0.0013137077234652344,80.14710686053678
N92000002,Northern Ireland,nation,2021-04-16,262917,855826,58.9,18.1,1118743,18.670059109746433,60.77325546715446,0.004182561346600124,0.0012853032321470672,79.4433145769009
N92000002,Northern Ireland,nation,2021-04-15,250474,850103,58.5,17.2,1100577,17.786466396066547,60.36685820761979,0.004154156855281957,0.0012213931266811908,78.15332460368634
N92000002,Northern Ireland,nation,2021-04-14,237281,844284,58.1,16.3,1081565,16.849615261165095,59.95364387016875,0.0041257523639637896,0.0011574830212153146,76.80325913133385
N92000002,Northern Ireland,nation,2021-04-13,224129,838049,57.7,15.4,1062178,15.915675586623756,59.51088886174682,0.004097347872645623,0.0010935729157494382,75.42656444837058
N92000002,Northern Ireland,nation,2021-04-12,210470,831895,57.3,14.5,1042365,14.94573321933664,59.073885762816815,0.004068943381327455,0.001029662810283562,74.01961898215346
