areaCode,areaName,areaType,date,newAdmissions,newAdmissionsChangePercentage,newAdmissionsRollingRate
K02000001,United Kingdom,overview,2021-01-21,3633,-6.8,40.8
K02000001,United Kingdom,overview,2021-01-20,4044,-5.9,41.5
K02000001,United Kingdom,overview,2021-01-19,4160,-5.8,41.8
K02000001,United Kingdom,overview,2021-01-18,4062,-2.9,42.4
K02000001,United Kingdom,overview,2021-01-17,3748,-0.8,42.8
K02000001,United Kingdom,overview,2021-01-16,3939,0.9,43.1
K02000001,United Kingdom,overview,2021-01-15,3676,4.0,43.3
K02000001,United Kingdom,overview,2021-01-14,4100,7.6,43.8
K02000001,United Kingdom,overview,2021-01-13,4222,14.1,44.1
K02000001,United Kingdom,overview,2021-01-12,4578,19.9,44.4
K02000001,United Kingdom,overview,2021-01-11,4309,22.3,43.7
K02000001,United Kingdom,overview,2021-01-10,3933,25.0,43.1
K02000001,United Kingdom,overview,2021-01-09,4126,28.1,42.7
K02000001,United Kingdom,overview,2021-01-08,3998,30.3,41.7
K02000001,United Kingdom,overview,2021-01-07,4292,34.8,40.7
K02000001,United Kingdom,overview,2021-01-06,4392,33.5,38.6
K02000001,United Kingdom,overview,2021-01-05,4116,34.9,37.0
K02000001,United Kingdom,overview,2021-01-04,3936,35.9,35.7
K02000001,United Kingdom,overview,2021-01-03,3648,37.2,34.5
K02000001,United Kingdom,overview,2021-01-02,3439,38.4,33.3
K02000001,United Kingdom,overview,2021-01-01,3368,36.9,32.0
K02000001,United Kingdom,overview,2020-12-31,2915,31.5,30.2
K02000001,United Kingdom,overview,2020-12-30,3286,25.6,28.9
K02000001,United Kingdom,overview,2020-12-29,3249,20.5,27.4
K02000001,United Kingdom,overview,2020-12-28,3131,19.6,26.3
K02000001,United Kingdom,overview,2020-12-27,2871,17.7,25.1
K02000001,United Kingdom,overview,2020-12-26,2530,16.1,24.1
K02000001,United Kingdom,overview,2020-12-25,2182,14.7,23.3
K02000001,United Kingdom,overview,2020-12-24,2082,14.6,23.0
K02000001,United Kingdom,overview,2020-12-23,2274,18.6,23.0
K02000001,United Kingdom,overview,2020-12-22,2479,20.1,22.8
K02000001,United Kingdom,overview,2020-12-21,2368,17.6,22.0
K02000001,United Kingdom,overview,2020-12-20,2168,17.1,21.4
K02000001,United Kingdom,overview,2020-12-19,2044,16.4,20.7
K02000001,United Kingdom,overview,2020-12-18,1917,18.5,20.4
